16,0.8,0.08,0.185,0.402,-0.058,-0.301,10.119,329.27,33.2,3.6,0,0,39.915649,337.87,,1,1,1,1,,387,,,0.3
16.25,0.75,0.075,0.395,0.481,-0.044,-0.263,10.095,329.27,31.35,5.7,0,0,37.691434,339.97,,1,1,1,1,,387.5,,,0.3
16.5,0.7,0.07,0.395,0.481,-0.044,-0.263,10.095,329.27,31.35,5.7,0,0,37.691434,339.97,,1,1,1,1,,388,,,0.3
16.75,0.65,0.065,0.597,0.518,-0.011,-0.213,10.021,329.27,31.35,5.7,0,0,37.691434,339.97,,1,1,1,1,,388.5,,,0.3
17,0.6,0.06,0.597,0.518,-0.011,-0.213,10.021,329.27,31.35,5.7,0,0,37.691434,339.97,,1,1,1,1,,389,,,0.3
17.25,0.55,0.055,0.764,0.491,0.037,-0.192,9.909,329.27,30.43,8.5,0,0,36.585338,342.77,,1,1,1,1,,389.5,,,0.3
17.5,0.5,0.05,0.764,0.491,0.037,-0.192,9.909,329.27,30.43,8.5,0,0,36.585338,342.77,,1,1,1,1,,390,,,0.3
17.75,0.45,0.045,0.868,0.398,0.094,-0.156,9.757,329.27,30.43,8.5,0,0,36.585338,342.77,,1,1,1,1,,390.5,,,0.3
18,0.4,0.04,0.868,0.398,0.094,-0.156,9.757,329.27,30.43,8.5,0,0,36.585338,342.77,,1,1,1,1,,391,,,0.3
18.25,0.35,0.035,0.886,0.243,0.148,-0.116,9.608,329.47,30.43,7.7,0,0,36.585338,342.17,,1,1,1,1,,391.5,,,0.3
18.5,0.3,0.03,0.886,0.243,0.148,-0.116,9.608,329.47,30.43,7.7,0,0,36.585338,342.17,,1,1,1,1,,392,,,0.3
18.75,0.25,0.025,0.802,0.036,0.198,-0.089,9.461,329.47,30.43,7.7,0,0,36.585338,342.17,,1,1,1,1,,392.5,,,0.3
19,0.2,0.02,0.802,0.036,0.198,-0.089,9.461,329.47,30.43,7.7,0,0,36.585338,342.17,,1,1,1,1,,393,,,0.3
19.25,0.15,0.015,0.615,-0.196,0.222,0,9.364,329.47,31.35,5.4,0,0,37.691434,339.87,,1,1,1,1,,393.5,,,0.3
19.5,0.1,0.01,0.615,-0.196,0.222,0,9.364,329.47,31.35,5.4,0,0,37.691434,339.87,,1,1,1,1,,394,,,0.3
19.75,0.05,0.005,0.338,-0.423,0.233,0.095,9.309,329.47,31.35,5.4,0,0,37.691434,339.87,,1,1,1,1,,394.5,,,0.3
20,0,0,0.338,-0.423,0.233,0.095,9.309,329.47,31.35,5.4,0,0,37.691434,339.87,,1,1,1,1,,395,,,0.3
20.25,-0.05,-0.005,-0.003,-0.614,0.215,0.173,9.338,329.67,32.28,3.5,0,0,38.809553,338.17,,1,1,1,1,,395.5,,,0.3
20.5,-0.1,-0.01,-0.003,-0.614,0.215,0.173,9.338,329.67,32.28,3.5,0,0,38.809553,338.17,,1,1,1,1,,396,,,0.3
20.75,-0.15,-0.015,-0.369,-0.736,0.194,0.234,9.417,329.67,32.28,3.5,0,0,38.809553,338.17,,1,1,1,1,,396.5,,,0.3
21,-0.2,-0.02,-0.369,-0.736,0.194,0.234,9.417,329.67,32.28,3.5,0,0,38.809553,338.17,,1,1,1,1,,397,,,0.4
21.25,-0.25,-0.025,-0.715,-0.775,0.144,0.228,9.568,329.87,33.2,4.2,0,0,39.915649,339.07,,1,1,1,1,,397.5,,,0.4
21.5,-0.3,-0.03,-0.715,-0.775,0.144,0.228,9.568,329.87,33.2,4.2,0,0,39.915649,339.07,,1,1,1,1,,398,,,0.4
21.75,-0.35,-0.035,-0.996,-0.713,0.081,0.188,9.753,329.87,33.2,4.2,0,0,39.915649,339.07,,1,1,1,1,,398.5,,,0.4
